region,p
Left-Temporal_lobe,0.06045564202282132
Left-Hippocampus,0.11026021836092065
Left-Putamen,0.18590739892784688
Left-Caudate,0.22816370825980395
Left-Thalamus,0.26470706476375555
Left-Parahippocampal_and_ambient_gyri,0.27574936120258864
Left-Gyrus_cinguli_posterior_part,0.31054151037288297
Left-Gyrus_cinguli_anterior_part,0.38809110598594515
Left-Insula,0.3995499900778716
Left-Lingual_gyrus,0.4420633870147745
Left-Lateral_remainder_of_occipital_lobe,0.45646295631521566
Left-Inferolateral_remainder_of_parietal_lobe,0.48062651718121135
Left-Superior_parietal_gyrus,0.5373604934894816
Left-Postcentral_gyrus,0.6066432580679386
Left-Precentral_gyrus,0.6529545964605001
Left-Orbitofrontal_gyri,0.6783571635415749
Left-Gyrus_rectus,0.7129657154768699
Left-Inferior_frontal_gyrus,0.7477106606022317
Left-Middle_frontal_gyrus,0.788296443542571
Left-Amygdala,0.8244437592573389
Left-Superior_frontal_gyrus,0.8244437592573389
Left-Accumbens-area,0.8923141575388865
Right-Temporal_lobe,0.06045564202282132
Right-Hippocampus,0.11026021836092065
Right-Putamen,0.18590739892784688
Right-Caudate,0.22816370825980395
Right-Thalamus,0.26470706476375555
Right-Parahippocampal_and_ambient_gyri,0.27574936120258864
Right-Gyrus_cinguli_posterior_part,0.31054151037288297
Right-Gyrus_cinguli_anterior_part,0.38809110598594515
Right-Insula,0.3995499900778716
Right-Lingual_gyrus,0.4420633870147745
Right-Lateral_remainder_of_occipital_lobe,0.45646295631521566
Right-Inferolateral_remainder_of_parietal_lobe,0.48062651718121135
Right-Superior_parietal_gyrus,0.5373604934894816
Right-Postcentral_gyrus,0.6066432580679386
Right-Precentral_gyrus,0.6529545964605001
Right-Orbitofrontal_gyri,0.6783571635415749
Right-Gyrus_rectus,0.7129657154768699
Right-Inferior_frontal_gyrus,0.7477106606022317
Right-Middle_frontal_gyrus,0.788296443542571
Right-Amygdala,0.8244437592573389
Right-Superior_frontal_gyrus,0.8244437592573389
Right-Accumbens-area,0.8923141575388865
