region,hemi,p
bankssts,left,0.2962061584174261
transverse temporal,left,0.2962061584174261
superior temporal,left,0.2962061584174261
temporal pole,left,0.2962061584174261
entorhinal,left,0.2962061584174261
middle temporal,left,0.2962061584174261
inferior temporal,left,0.2962061584174261
fusiform,left,0.2962061584174261
bankssts,right,0.2962061584174261
transverse temporal,right,0.2962061584174261
superior temporal,right,0.2962061584174261
temporal pole,right,0.2962061584174261
entorhinal,right,0.2962061584174261
middle temporal,right,0.2962061584174261
inferior temporal,right,0.2962061584174261
fusiform,right,0.2962061584174261
superior frontal,left,0.20050687195115938
frontal pole,left,0.20050687195115938
superior frontal,right,0.20050687195115938
frontal pole,right,0.20050687195115938
caudal middle frontal,left,0.269103917423202
rostral middle frontal,left,0.269103917423202
caudal middle frontal,right,0.269103917423202
rostral middle frontal,right,0.269103917423202
pars opercularis,left,0.16755250056497806
pars orbitalis,left,0.16755250056497806
pars triangularis,left,0.16755250056497806
pars opercularis,right,0.16755250056497806
pars orbitalis,right,0.16755250056497806
pars triangularis,right,0.16755250056497806
medial orbitofrontal,left,0.14214520690488622
medial orbitofrontal,right,0.14214520690488622
lateral orbitofrontal,left,0.060515408798695776
lateral orbitofrontal,right,0.060515408798695776
precentral,left,0.6748316745506743
paracentral,left,0.6748316745506743
precentral,right,0.6748316745506743
paracentral,right,0.6748316745506743
postcentral,left,0.9227347963107414
postcentral,right,0.9227347963107414
superior parietal,left,0.6209650438522489
precuneus,left,0.6209650438522489
superior parietal,right,0.6209650438522489
precuneus,right,0.6209650438522489
cuneus,left,0.6209650438522489
pericalcarine,left,0.6209650438522489
cuneus,right,0.6209650438522489
pericalcarine,right,0.6209650438522489
inferior parietal,left,0.47363386779121786
supramarginal,left,0.47363386779121786
inferior parietal,right,0.47363386779121786
supramarginal,right,0.47363386779121786
lateral occipital,left,0.767847971792538
lateral occipital,right,0.767847971792538
lingual,left,0.9531742328444556
lingual,right,0.9531742328444556
insula,left,0.24642683534124818
insula,right,0.24642683534124818
caudal anterior cingulate,left,0.47363386779121786
rostral anterior cingulate,left,0.47363386779121786
caudal anterior cingulate,right,0.47363386779121786
rostral anterior cingulate,right,0.47363386779121786
posterior cingulate,left,0.3559230124370073
isthmus cingulate,left,0.3559230124370073
posterior cingulate,right,0.3559230124370073
isthmus cingulate,right,0.3559230124370073
parahippocampal,left,0.8042116025664449
parahippocampal,right,0.8042116025664449
