region,p
Left-Thalamus,0.04272341109650112
Left-Caudate,0.07354053299511824
Left-Putamen,0.16537811594190852
Left-Hippocampus,0.19100619771124383
Left-Amygdala,0.21856727884053548
Left-Accumbens-area,0.25974602465283086
Right-Thalamus,0.2820648440767365
Right-Caudate,0.3301776581521484
Right-Putamen,0.36614159332605395
Right-Hippocampus,0.42072303038719694
Right-Amygdala,0.42905517849849023
Right-Accumbens-area,0.5094788596783556
Temporal_lobe_left,0.5227276391362977
Frontal_lobe_left,0.5951242049375094
Parietal_lobe_left,0.5951242049375094
Occipital_lobe_left,0.6155591480740817
Cingulate_lobe_left,0.6628659264804134
Insula_left,0.6918089166442988
Temporal_lobe_right,0.698683385198106
Frontal_lobe_right,0.7333628109354811
Parietal_lobe_right,0.7934168828935101
Occipital_lobe_right,0.8119221689380776
Cingulate_lobe_right,0.9353651159830543
Insula_right,0.9570209708932449
