region,hemi,p
bankssts,left,0.4693896629972171
transverse temporal,left,0.4693896629972171
superior temporal,left,0.4693896629972171
temporal pole,left,0.4693896629972171
entorhinal,left,0.4693896629972171
middle temporal,left,0.4693896629972171
inferior temporal,left,0.4693896629972171
fusiform,left,0.4693896629972171
parahippocampal,left,0.4693896629972171
superior frontal,left,0.4948481915872001
frontal pole,left,0.4948481915872001
caudal middle frontal,left,0.4948481915872001
rostral middle frontal,left,0.4948481915872001
pars opercularis,left,0.4948481915872001
pars orbitalis,left,0.4948481915872001
pars triangularis,left,0.4948481915872001
medial orbitofrontal,left,0.4948481915872001
lateral orbitofrontal,left,0.4948481915872001
precentral,left,0.4948481915872001
paracentral,left,0.4948481915872001
postcentral,left,0.5214935250029221
superior parietal,left,0.5214935250029221
precuneus,left,0.5214935250029221
inferior parietal,left,0.5214935250029221
supramarginal,left,0.5214935250029221
lateral occipital,left,0.566646204373957
cuneus,left,0.566646204373957
pericalcarine,left,0.566646204373957
lingual,left,0.566646204373957
caudal anterior cingulate,left,0.566646204373957
rostral anterior cingulate,left,0.566646204373957
posterior cingulate,left,0.566646204373957
isthmus cingulate,left,0.566646204373957
insula,left,0.6045002587256761
bankssts,right,0.6168348287886848
transverse temporal,right,0.6168348287886848
superior temporal,right,0.6168348287886848
temporal pole,right,0.6168348287886848
entorhinal,right,0.6168348287886848
middle temporal,right,0.6168348287886848
inferior temporal,right,0.6168348287886848
fusiform,right,0.6168348287886848
parahippocampal,right,0.6168348287886848
superior frontal,right,0.6797093775861965
frontal pole,right,0.6797093775861965
caudal middle frontal,right,0.6797093775861965
rostral middle frontal,right,0.6797093775861965
pars opercularis,right,0.6797093775861965
pars orbitalis,right,0.6797093775861965
pars triangularis,right,0.6797093775861965
medial orbitofrontal,right,0.6797093775861965
lateral orbitofrontal,right,0.6797093775861965
precentral,right,0.6797093775861965
paracentral,right,0.6797093775861965
postcentral,right,0.7067060931888033
superior parietal,right,0.7067060931888033
precuneus,right,0.7067060931888033
inferior parietal,right,0.7067060931888033
supramarginal,right,0.7067060931888033
lateral occipital,right,0.7360461639470743
cuneus,right,0.7360461639470743
pericalcarine,right,0.7360461639470743
lingual,right,0.7360461639470743
caudal anterior cingulate,right,0.8684582392293396
rostral anterior cingulate,right,0.8684582392293396
posterior cingulate,right,0.8684582392293396
isthmus cingulate,right,0.8684582392293396
insula,right,0.9004656373523912
