region,p
Left-Thalamus,0.0455349747736186
Left-Caudate,0.07381955082878655
Left-Putamen,0.11025590326231263
Left-Hippocampus,0.1303038116104607
Left-Amygdala,0.15960156639492507
Left-Accumbens-area,0.17496557533021542
Right-Thalamus,0.19758550915398843
Right-Caudate,0.2549664049621151
Right-Putamen,0.28654425321824023
Right-Hippocampus,0.3114041743314725
Right-Amygdala,0.3298123429322357
Right-Accumbens-area,0.3743217036657644
Temporal_lobe_left,0.4693896629972171
Frontal_lobe_left,0.4948481915872001
Parietal_lobe_left,0.5214935250029221
Occipital_lobe_left,0.566646204373957
Cingulate_lobe_left,0.566646204373957
Insula_left,0.6045002587256761
Temporal_lobe_right,0.6168348287886848
Frontal_lobe_right,0.6797093775861965
Parietal_lobe_right,0.7067060931888033
Occipital_lobe_right,0.7360461639470743
Cingulate_lobe_right,0.8684582392293396
Insula_right,0.9004656373523912
