region,hemi,p
bankssts,left,0.29031792999424955
transverse temporal,left,0.29031792999424955
superior temporal,left,0.29031792999424955
temporal pole,left,0.29031792999424955
entorhinal,left,0.29031792999424955
middle temporal,left,0.29031792999424955
inferior temporal,left,0.29031792999424955
fusiform,left,0.29031792999424955
bankssts,right,0.29031792999424955
transverse temporal,right,0.29031792999424955
superior temporal,right,0.29031792999424955
temporal pole,right,0.29031792999424955
entorhinal,right,0.29031792999424955
middle temporal,right,0.29031792999424955
inferior temporal,right,0.29031792999424955
fusiform,right,0.29031792999424955
superior frontal,left,0.5632664862345843
frontal pole,left,0.5632664862345843
superior frontal,right,0.5632664862345843
frontal pole,right,0.5632664862345843
caudal middle frontal,left,0.37946712975319746
rostral middle frontal,left,0.37946712975319746
caudal middle frontal,right,0.37946712975319746
rostral middle frontal,right,0.37946712975319746
pars opercularis,left,0.7310048396896028
pars orbitalis,left,0.7310048396896028
pars triangularis,left,0.7310048396896028
pars opercularis,right,0.7310048396896028
pars orbitalis,right,0.7310048396896028
pars triangularis,right,0.7310048396896028
medial orbitofrontal,left,0.9255051795999574
medial orbitofrontal,right,0.9255051795999574
lateral orbitofrontal,left,0.8735359983303872
lateral orbitofrontal,right,0.8735359983303872
precentral,left,0.2855885464093833
paracentral,left,0.2855885464093833
precentral,right,0.2855885464093833
paracentral,right,0.2855885464093833
postcentral,left,0.18406343006900597
postcentral,right,0.18406343006900597
superior parietal,left,0.05625538807053055
precuneus,left,0.05625538807053055
cuneus,left,0.05625538807053055
pericalcarine,left,0.05625538807053055
superior parietal,right,0.05625538807053055
precuneus,right,0.05625538807053055
cuneus,right,0.05625538807053055
pericalcarine,right,0.05625538807053055
inferior parietal,left,0.09082257006564244
supramarginal,left,0.09082257006564244
inferior parietal,right,0.09082257006564244
supramarginal,right,0.09082257006564244
lateral occipital,left,0.21327020841683733
lateral occipital,right,0.21327020841683733
lingual,left,0.4583469128480065
lingual,right,0.4583469128480065
insula,left,0.9324789163558103
insula,right,0.9324789163558103
caudal anterior cingulate,left,0.9469696034792523
rostral anterior cingulate,left,0.9469696034792523
caudal anterior cingulate,right,0.9469696034792523
rostral anterior cingulate,right,0.9469696034792523
posterior cingulate,left,0.5008883953672885
isthmus cingulate,left,0.5008883953672885
posterior cingulate,right,0.5008883953672885
isthmus cingulate,right,0.5008883953672885
parahippocampal,left,0.6578903486219595
parahippocampal,right,0.6578903486219595
