region,hemi,p
bankssts,left,0.5227276391362977
transverse temporal,left,0.5227276391362977
superior temporal,left,0.5227276391362977
temporal pole,left,0.5227276391362977
entorhinal,left,0.5227276391362977
middle temporal,left,0.5227276391362977
inferior temporal,left,0.5227276391362977
fusiform,left,0.5227276391362977
parahippocampal,left,0.5227276391362977
superior frontal,left,0.5951242049375094
frontal pole,left,0.5951242049375094
caudal middle frontal,left,0.5951242049375094
rostral middle frontal,left,0.5951242049375094
pars opercularis,left,0.5951242049375094
pars orbitalis,left,0.5951242049375094
pars triangularis,left,0.5951242049375094
medial orbitofrontal,left,0.5951242049375094
lateral orbitofrontal,left,0.5951242049375094
precentral,left,0.5951242049375094
paracentral,left,0.5951242049375094
postcentral,left,0.5951242049375094
superior parietal,left,0.5951242049375094
precuneus,left,0.5951242049375094
inferior parietal,left,0.5951242049375094
supramarginal,left,0.5951242049375094
lateral occipital,left,0.6155591480740817
cuneus,left,0.6155591480740817
pericalcarine,left,0.6155591480740817
lingual,left,0.6155591480740817
caudal anterior cingulate,left,0.6628659264804134
rostral anterior cingulate,left,0.6628659264804134
posterior cingulate,left,0.6628659264804134
isthmus cingulate,left,0.6628659264804134
insula,left,0.6918089166442988
bankssts,right,0.698683385198106
transverse temporal,right,0.698683385198106
superior temporal,right,0.698683385198106
temporal pole,right,0.698683385198106
entorhinal,right,0.698683385198106
middle temporal,right,0.698683385198106
inferior temporal,right,0.698683385198106
fusiform,right,0.698683385198106
parahippocampal,right,0.698683385198106
superior frontal,right,0.7333628109354811
frontal pole,right,0.7333628109354811
caudal middle frontal,right,0.7333628109354811
rostral middle frontal,right,0.7333628109354811
pars opercularis,right,0.7333628109354811
pars orbitalis,right,0.7333628109354811
pars triangularis,right,0.7333628109354811
medial orbitofrontal,right,0.7333628109354811
lateral orbitofrontal,right,0.7333628109354811
precentral,right,0.7333628109354811
paracentral,right,0.7333628109354811
postcentral,right,0.7934168828935101
superior parietal,right,0.7934168828935101
precuneus,right,0.7934168828935101
inferior parietal,right,0.7934168828935101
supramarginal,right,0.7934168828935101
lateral occipital,right,0.8119221689380776
cuneus,right,0.8119221689380776
pericalcarine,right,0.8119221689380776
lingual,right,0.8119221689380776
caudal anterior cingulate,right,0.9353651159830543
rostral anterior cingulate,right,0.9353651159830543
posterior cingulate,right,0.9353651159830543
isthmus cingulate,right,0.9353651159830543
insula,right,0.9570209708932449
